host,motivo
bmpweb_prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmapp-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmapp-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmapp-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmapp-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmdb-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmdb-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmdb-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmdb-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmweb-prd01.cloudalgartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
bpmweb-prd02.cloudalgartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-hom2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-hom2-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-hom2-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-hom2-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-ocs-p01 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-ocs-p02 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-ocs-p03 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-ocs-p04 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-ocs-p05 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-prd-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
broker-prd-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
cac-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
cac-hml03 ,Sem ICMP e SSH (possível offline/rota/firewall)
cacti-capacidade-new-seta ,Sem ICMP e SSH (possível offline/rota/firewall)
cacti-prd-corp01 ,Sem ICMP e SSH (possível offline/rota/firewall)
cadastro-posi-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
capacidade-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
cap-hos-17 ,Sem ICMP e SSH (possível offline/rota/firewall)
catprod-hml-matrix01 ,Sem ICMP e SSH (possível offline/rota/firewall)
cbp-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
cbp-hom2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
cbp-ocs-p01 ,Sem ICMP e SSH (possível offline/rota/firewall)
cbp-ocs-p02 ,Sem ICMP e SSH (possível offline/rota/firewall)
cce-service-hom01 ,ICMP bloqueado (sem ping)
cce-service-hom02 ,ICMP bloqueado (sem ping)
cds1 ,ICMP bloqueado (sem ping)
cds2 ,ICMP bloqueado (sem ping)
cds3 ,ICMP bloqueado (sem ping)
ciscoar-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
ciscoar-tra ,Sem ICMP e SSH (possível offline/rota/firewall)
citrus-app-omni-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
citrus-app-omni-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
citrus-app-omni-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
citrus-app-omni-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
citrus-bd-omni-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
citrus-bd-omni-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
clik-hom-app01 ,Sem ICMP e SSH (possível offline/rota/firewall)
clik-hom-bd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
cloud-mediacao ,ICMP bloqueado (sem ping)
cm.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
comando-prd ,Sem ICMP e SSH (possível offline/rota/firewall)
comissaodes.network ,Sem ICMP e SSH (possível offline/rota/firewall)
consumers-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
consumers-moniot-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
consumers-moniot-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
consumers-moniot-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
consumers-moniot-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
consumers-moniot-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
consumers-moniot-prd08 ,Sem ICMP e SSH (possível offline/rota/firewall)
core-hom-app01 ,ICMP bloqueado (sem ping)
core-hom-app02 ,ICMP bloqueado (sem ping)
core-prd-app03 ,Sem ICMP e SSH (possível offline/rota/firewall)
core-prd-balancer01 ,Sem ICMP e SSH (possível offline/rota/firewall)
cpgr-hml01 ,ICMP bloqueado (sem ping)
cpgr-prd01 ,ICMP bloqueado (sem ping)
crm-prd-cache01New ,Sem ICMP e SSH (possível offline/rota/firewall)
crm-prd-cache02New ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-hom-cis01 ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-hom-guru01 ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-prd-app03 ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-prd-backend-cis01 ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-prd-backend-cis02 ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-prd-balancer ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-prd-bd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-prd-cis-balancer ,Sem ICMP e SSH (possível offline/rota/firewall)
crv-prd-cis-frontend ,Sem ICMP e SSH (possível offline/rota/firewall)
csocacti ,Sem ICMP e SSH (possível offline/rota/firewall)
dataserver-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
dbatools-app01 ,Sem ICMP e SSH (possível offline/rota/firewall)
dbhx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
db-policy-prd01-236 ,Sem ICMP e SSH (possível offline/rota/firewall)
db-policy-prd01-238 ,Sem ICMP e SSH (possível offline/rota/firewall)
db-policy-prd02-236 ,Sem ICMP e SSH (possível offline/rota/firewall)
db-policy-prd02-238 ,Sem ICMP e SSH (possível offline/rota/firewall)
db-policy-prd03-236 ,Sem ICMP e SSH (possível offline/rota/firewall)
db-policy-prd03-238 ,Sem ICMP e SSH (possível offline/rota/firewall)
director-hml ,Sem ICMP e SSH (possível offline/rota/firewall)
dns-prd-1.ocs.algartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
dns-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
dns-privatecloud-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
dns-privatecloud-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
dnstic-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
dnstic-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
docs.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
ebd-pem-soa-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
ebd-pem-soa-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
ebinvoiceprddav01_new ,Sem ICMP e SSH (possível offline/rota/firewall)
ecomm03_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
ecomm04_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
elastic-search-hom01 ,Sem ICMP e SSH (possível offline/rota/firewall)
